TRUE,question,janru,When,FALSE,FALSE,FALSE,null
情報システムへの攻撃段階を，偵察，攻撃，目的の実行などの複数のフェーズに分けてモデル化したもの,サイバーキルチェーンとは,テクノロジ,令和4年春期 問69,ブロックと呼ばれる幾つかの取引記録をまとめた単位を，一つ前のブロックの内容を示すハッシュ値を設定して，鎖のようにつなぐ分散管理台帳技術,記録が書かれたブロックを鎖のようにつなぐこと,ブロックチェーン,null
3+0←3+(30-10*3)=3:j←k+(j-10*k),30をチェックディジットで計算する。上手くいく計算はどれ,テクノロジ,令和4年春期 問78,3←30-10+3:j ← j－10×k,3←3+(30-10)*3:j ← k＋(j－10)×k,運転者へ様々な情報をリアルタイムに提供することをテレマティクスという,null
クライアントとサーバ間の回線を高速化し，データの送受信時間を短くする。,クライアントサーバシステムの応答時間を短縮するための施策とは,テクノロジ,令和2年秋期 問63,サーバを高性能化して，サーバの処理時間を短くする。これは間違いである。,クライアントの台数を増やして，クライアントの利用待ち時間を短くする。,クライアントの入力画面で，利用者がデータを入力する時間を短くする。,null
インターネットだけでなく，企業内LANのような閉じたネットワーク上にも構築することができる。,IP電話で使用されている技術に関する記述とは,テクノロジ,令和2年秋期 問77,音声をIPパケットに変換する技術としてIP-VPNを使用している。,,公衆電話網への発信を行うことはできない。,null
500秒,伝送速度が20Mbps(ビット／秒)，伝送効率が80%である通信回線において，1Gバイトのデータを伝送するのに掛かる時間は何秒か,テクノロジ,令和2年秋期 問95,0.625秒,j ← j－10×k秒,30秒,null
1:命令の読み込み 2:命令の解読,コンピュータにおける命令の実行順序とは,テクノロジ,平成24年秋期 問76,1:命令の読み込み 2:命令の書き込み,1:命令の書き込み 2:命令の解読,1:キャッシュメモリ 2:レジスタ,null
コミット,データベースが矛盾なく終わった際に更新を確定するものとは,テクノロジ,令和3年春期 問62,ロールフォワード,スキーマ,"トランザクシクションの再現,物事や計画の概略や仕組み、構造、形式などを示したもの",null
データ量が多く電子メールで送れない業務で使うファイルを，会社が許可していないオンラインストレージサービスを利用して取引先に送付した。,シャドーITの例とは,テクノロジ,令和3年春期 問65,他の社員にPCの画面をのぞかれないように，離席する際にスクリーンロックを行った。,他の社員がパスワードを入力しているところをのぞき見て入手したパスワードを使って，情報システムにログインした。,リスク移転とも呼ばれる。リスク対応において，リスクへの対応策を分類したものであり，リスクの顕在化に備えて保険を掛けること,null
プロポーショナルフォント,単語を読みやすくするために，表示したり印刷したりするときの文字幅が，文字ごとに異なるフォントを何と呼ぶか。,テクノロジ,令和3年春期 問87,幅が同じである等幅フォント,ドットが集まったビットマップフォント,テキストで絵ができるテキストマイニング,null
キャッシュメモリ,PCの処理効率を高めるために，CPUが主記憶にアクセスする時間を見かけ上短縮することを目的としたものは,テクノロジ,平成27年春期 問52,デフラグ,仮想記憶,SSD,null
WebサーバとPC間の双方向の通信が暗号化される。,"URLが""https://""で始まるサイトを閲覧したときの通信の暗号化に関する記述は",テクノロジ,平成27年春期 問83,PCからWebサーバへの通信だけが暗号化される。,WebサーバからPCへの通信だけが暗号化される。,企業目標の達成に向けて行われる活動の実行状況を計るために設定する重要な指標KPI,null
BD-R,直径は12cmのうち記憶媒体のうち，記録容量が最も大きいものは,テクノロジ,平成28年秋期 問56,4.7GのDVD-RAM,650MBのCD-R,契約者の拠点間だけを専用線のようにセキュリティを確保して接続するWANサービスIP-VPN,null
インターネットの技術を利用して構築された組織内ネットワーク,イントラネットとは,テクノロジ,平成28年秋期 問63,無線を使わずに有線だけで構成されたネットワーク,社外の誰もが自由に接続可能な社内ネットワーク,,null
情報セキュリティ方針,企業におけるISMSの活動において，自社で取り扱う情報資産の保護に関する基本的な考え方や取組み方を示したものは,テクノロジ,平成28年秋期 問71,ISMS要求事項,PDCA,BCP,null
問合せのあったホスト名のIPアドレスを回答する。,DNSサーバの機能に関する記述とは,テクノロジ,平成26年春期 問71,問合せのあったIPアドレスに対応したMACアドレスを回答する。,映像，音声及び制御信号を1本のケーブルで入出力するAV機器向けのインタフェース,HDMI,null
対象業務の分析→管理するデータ項目の洗い出し→表の作成,関係データベースの構築で正しいものは,テクノロジ,平成26年春期 問83,対象業務の分析→表の作成→管理するデータ項目の洗い出し,管理するデータ項目の洗い出し→対象業務の分析→表の作成,ミラーリング→可用性→ミラーリング,null
ISMS 機密性、完全性、可用性を一定の水準で確保するための仕組みのことです。,情報セキュリティマネジメントシステムはどう読む？,テクノロジ,non,Software as a Service 専門の事業者が運用するサービスをインターネット経由で利用する,Internet Services Provider インターネット接続業者,Application Service Provider 業務用のアプリケーションをインターネットを通じて顧客にレンタルするサービス形態又はその事業者,null
Bさんはあらかじめ，自身の公開鍵証明書の発行を受けておく必要があるが，Aさんはその必要はない。,S/MIMEを利用して暗号化したメールを送信する場合の条件,テクノロジ,平成24年秋期 問56,Aさんが属しているISPがS/MIMEに対応している必要がある。,Aさん，Bさんともに，同一のISP(Internet Service Provider)に属している必要がある。,Aさん，Bさんともに，あらかじめ，自身の公開鍵証明書の発行を受けておく必要がある。,null
USBメモリ,記憶素子として半導体メモリを用いているもの,テクノロジ,平成24年秋期 問61,DVD-RAM,CD-ROM,MD,null
異なるネットワークを相互接続し，パケットの中継を行うこと,ネットワークを構成する機器であるルータの機能の説明とは,テクノロジ,平成24年秋期 問84,光ファイバのLANケーブルと銅線のLANケーブルを接続し，ケーブル上の信号を相互変換する。,同一LAN内の機器を接続し，パケットの中継を行う。,LANケーブル同士を接続し，ケーブルから受信した信号を増幅して他方のケーブルに送信する。,null
インパクトプリンター,印刷時にカーボン紙やノンカーボン紙を使って同時に複写が取れるプリンターは,テクノロジ,平成24年秋期 問81,インクジェッ卜プリンター,感熱式プリンター,レーザプリンター,null
インターネットに接続されたサーバから5MバイトのファイルをPCにダウンロードするときに掛かる時間,ダウンロードする容量=実効通信速度*通信速度/8という式を説明してほしい,テクノロジ,平成31年春期 問77,3次元データを用いて、立体物を造形する3Dプリンター,立体物の曲面などに、画像を印刷する曲面印刷,レーザによって、空間に立体画像を表示するプロジェクションマッピング,null
ロック／アンロック,複数の利用者がデータベースの同じレコードを更新するときに，データの整合性を保つために行う制御とは,テクノロジ,平成28年秋期 問81,正規化,ロールフォワード,デッドロック,null
ディスプレイの解像度,SXGAやQVGAなどが用いられるものは,テクノロジ,平成30年秋期 問92,WEBサーバの公開鍵,受信した電子メールに付与されたディジタル署名の検証,使用しているブラウザからWebサーバへの暗号化速度,null
無線LANの暗号化方式であるWPA2,暗号が容易に解読されてしまうという問題が指摘されている。WEPの弱点を改善し，暗号強度を高めた暗号化方式は？,テクノロジ,平成29年秋期 問69,通信の暗号化、デジタル証明書を利用した改ざん検出、ノード認証ができるSSL/TLS,公開鍵暗号技術を使用して「認証」「改ざん検知」「暗号化」などの機能をメールソフトに提供するS/MIME,混信を避けるためにアクセスポイントと端末に設定するESSID,null
プライベートIPアドレスとグローバルIPアドレスを相互変換する。,NATとは,テクノロジ,平成29年秋期 問63,IPアドレスとMACアドレスを対応付ける。,ネットワークへ接続するコンピュータにIPアドレスを自動的に割り当てる,ホスト名からIPアドレスを得る。,https://www.itpassportsiken.com/kakomon/29_aki/q63.html
FTTH,光ファイバを使った家庭向けの通信サービスを示す用語は,テクノロジ,平成24年春期 問82,MIDI,GIF,ISDN,null
インターネット接続回線を不正利用される。,WEPの暗号化方式の脆弱性によって，外部から無線LANに不正アクセスされたときに発生しやすい被害,テクノロジ,平成30年春期 問100,PCからインターネットへの通信内容が漏えいする。,ESSID1に設定した暗号化キーが漏えいする。,,null
キャリアアグリゲーション(Carrier Aggregation),複数の異なる周波数帯の電波を束ねることによって，無線通信の高速化や安定化を図る手法は,テクノロジ,平成30年春期 問99,FTTH(Fiber To The Home),MVNO(Mobile Virtual Network Operator),ハンドオーバー,null
データ量を減らせるエッジコンピューティング,IoTゲートウェイを店舗内に配置しデータ量を減らしてから送信するシステム形態は,テクノロジ,令和3年春期 問86,複数のスマートフォンやタブレット端末を、遠隔から一元管理するシステムや技術であるMDM,物理的な接続形態に制限されない動的で柔軟なネットワークを作り上げるSDN,主系に障害が発生した場合に、主系で行っていた処理を待機系に引き継ぐデュプレックスシステム,null
トップマネジメントが確立しなければならない。,ISMSにおける情報セキュリティ方針とは,テクノロジ,平成30年春期 問93,企業の現状とは切り離して，目標とする理想形を記述するのがよい。,適用範囲が企業全体であっても，部門単位で制定するのがよい。,周知は情報セキュリティ担当者だけに限定するのがよい。,null
落雷などによる予期しない停電,脅威に該当するものは,テクノロジ,平成30年秋期 問67,機密文書の取扱方法の不統一,内部ネットワーク内のPCに代わってインターネットに接続する。,プロキシサーバ,https://www.itpassportsiken.com/kakomon/30_aki/q64.html
最初に1回だけ認証を受ければ，許可されている複数のサービスを利用できるので利便性が高い。シングルサインオンと呼ばれている。,シングルサインオンの特徴とは,テクノロジ,平成30年春期 問91,データを保存するときに，データは複数のディスクに自動的に分散配置されるので可用性が高い。RAIDとも呼ばれる。,サーバに保存するため端末内にデータが残らないので，情報漏えい対策として効果的である。シンクライアントシステムとも呼ばれる。,パスワードに加えて指紋や虹彩による認証を行う、気密性の高い二要素認証とも呼ばれる。,null
顧客コード|顧客名|代表者名|社員コード|地区コード,"結合に用いた""顧客""表はどれか。顧客コードは主キーで、社員コード、地区コードは外部キーである。",テクノロジ,平成30年秋期 問85,顧客コード|顧客名|代表者名|社員コード,顧客コード|顧客名|代表者名|地区コード,顧客コード|顧客名|代表者名,https://www.itpassportsiken.com/kakomon/30_aki/q85.html
MACアドレス,ネットワークに接続できる機器の識別に最適な機能とは,テクノロジ,平成30年秋期 問87,macbook,macbook pro,ハンバーガー,null
電子証明書を使用して，メールソフト間で電子メールを安全に送受信するための規格である。,電子メールで使用されるS/MIMEとは,テクノロジ,平成30年春期 問69,メールソフトが電子メールを受信するためのプロトコルである。,WPA2の利用の有無にかかわらず，SSL/TLSを利用することによって，ブラウザとWebサーバ間の通信を暗号化できる。,J-CRATは相談を受けた組織に対して，標的型サイバ一攻撃の連鎖の遮断を支援する活動を行う。,https://www.itpassportsiken.com/kakomon/03_haru/q81.html
ソフトウェアなどの脆弱性関連情報とその対策,"JVN#12345678""などの形式の識別子を付けて管理している情報は？",テクノロジ,平成30年春期 問82,強化学習は正解を与えず、設定された報酬を最大化するための行動をコンピュータに学習させる手法である。,ブルートフォースアタックは文字の組み合わせを全て試して強引にログインすること。,正解を与えずにデータを学習させる手法は教師なし学習と呼ばれる。,https://www.itpassportsiken.com/word/%E6%A9%9F%E6%A2%B0%E5%AD%A6%E7%BF%92.html
検索を高速に行う目的で，必要に応じて設定し，利用する情報,DBMSにおけるインデックスとは,テクノロジ,平成30年春期 問86,互いに関連したり依存したりする複数の処理を一つにまとめたトランザクションの説明,二つの表の間の参照整合性制約、外部キー制約の情報,レコードを一意に識別するためのフィールド、主キーの情報,null
所持情報，生体情報，知識情報,認証要素の3種類として，適切なものはどれか。,ストラテジ,令和5年 問62,個人情報，所持情報，生体情報,個人情報，生体情報，知識情報,"I,D,S",https://www.itpassportsiken.com/kakomon/05_haru/q67.html
プライベートIPアドレスとグローバルIPアドレスを相互変換する。,NATとは,テクノロジ,平成29年秋期 問63,ネットワークへ接続するコンピュータにIPアドレスを自動的に割り当てる。,IPアドレスとMACアドレスを対応付ける。,納豆,null
基幹業務を主対象として，事務処理から技術計算までの幅広い用途に利用されている大型コンピュータ,メインフレームとも呼ばれる汎用コンピュータ,テクノロジ,平成26年春期 問59,CPUと主記憶，インタフェース回路などを一つのチップに組み込んだ超小型コンピュータ,スケジュール管理，アドレス帳，電子メールなどの機能をもたせた携帯情報端末,データの入力や表示などの最小限の機能だけを備えたクライアント専用コンピュータ,null
正当な手続きを経ることによってアカウントを使用可能になるアクティベーション,ソフトウェアの不正利用防止などを目的として，プロダクトIDや利用者のハードウェア情報を使って，ソフトウェアのライセンス認証を行うことを表す用語は,テクノロジ,平成29年秋期 問89,電子メールをメールソフトで受け取るために使用されるpop3,画像・動画・音声データを送信するSMTP,ストリーミング は音声や動画などをダウンロードしながら再生すること。,https://www.itpassportsiken.com/word/MIME.html
他の事業者の移動体通信網を借用して，自社ブランドで通信サービスを提供する。,仮想移動体通信事業者(MVNO)が行うものとは,テクノロジ,平成29年秋期 問93,携帯電話やPHSなどの移動体通信網を自社でもち，自社ブランドで通信サービスを提供する。,携帯電話やPHSなどの移動体通信網を自社でもつ場合は電気通信事業者の説明,移動体通信事業者が利用する移動体通信用の周波数の割当てを行う場合は総務省の役割です。,null
IMAP4は，メールサーバ上で管理されている電子メールを閲覧するためのプロトコルであり，PCとスマートフォンなど複数の端末で一つのメールアカウントを使用する場合は便利である。,電子メールに関する説明について正しい情報を選んでください,テクノロジ,平成28年秋期 問85,MIMEは画像・動画・音声データを送信することはできない,POP3は企業や学校に設置した特定のPCで電子メールを送信する場合に利用されるプロトコルである。,SMTPは，電子メールでテキスト以外のデータフォーマットを扱えるようにするための仕組みである。,null
主キーは複数フィールドを組み合わせて設定することができる。,関係データベースにおける主キーに関する記述のうち，適切なものは,テクノロジ,平成28年秋期 問95,主キーに設定したフィールドは他の表の外部キーとして参照することができない。,主キーに設定したフィールドの値を更新することはできない。,UNIQUE制約(一意性制約)列や列の組合せの値が表内のすべての行で一意であること,null
ファイルなどの資源の管理は全てサーバ側で行う，ユーザーインタフェース専用の端末,シンクライアント端末とは,テクノロジ,平成23年秋期 問86,半導体ディスクや複数の低消費電力型CPUを搭載した，薄くてコンパクトなモバイルPC,データベース検索機能に特化したアプリケーションを搭載し，特定業務専用に利用される端末,ハードディスクに格納される全ての情報が自動的に暗号化されるようになっている端末,null
故障した時間/故障回数=平均修復時間なので答えは15である。,正常に稼働した時間が1155時間で故障した時間は45時間、回数は3回のシステムの平均修復時間は何時間か。,テクノロジ,平成23年秋期 問67,故障した時間/故障回数=平均修復時間なので答えは10である。,故障した時間/故障回数=平均修復時間なので答えは40である。,故障した時間/故障回数=平均修復時間なので答えは1145である。,null
,,テクノロジ,,,,,null
レッド(Red)，グリーン(Green)，ブルー(Blue)の3色,光の三原色の説明とは,テクノロジ,平成24年春期 問72,シアン(Cyan)，マゼンタ(Magenta)，イエロー(Yellow) の3色,すべての色の要素が最大のときには黒色になる。,減法混色,null
A=何も色を塗る部分はないB=Cと重なり、Aに重ならない所は色を塗る必要がある。,(not A) and B and Cはどのようなベン図か。色を塗っていないところはnotである。,テクノロジ,平成21年春期 問71,A=すべて塗っている必要がある。B＝すべて塗っている必要がある。C=すべて塗っている必要がある。,A=BとCの重なっている部分を塗る必要がある。,A=何も色を塗る部分はないB=Cと重なり、Aに重なる所は色を塗る必要がある。,null
オリジナルのCPUで動作するのと同じOSやアプリケーションソフトを動作させることができる。,互換CPUとは,テクノロジ,平成27年春期 問51,古くなったPCの性能を向上させるために用いられるCPUであり，新製品のPCに採用されることはない。,マルチコアCPUに対応する互換CPUは存在しない。,オリジナルと内部構造が異なっている互換CPUは、特許権の侵害になる。,null
DHCP,PCがネットワークに接続されたときにIPアドレスを自動的に取得するために使用されるプロトコル,テクノロジ,平成26年春期 問58,HTTP,DNS,pop3,null
読取り専用のもの，繰返し書き込むことができるものなど，複数のタイプのメディアを利用できる。,コンピュータの補助記憶装置であるDVD装置の説明とは,テクノロジ,平成25年春期 問70,記録方式の性質上，CD-ROMを読むことはできない。,小型化することが難しく，ノート型PCには搭載できない。,データの読出しにはレーザ光を，書込みには磁気を用いる。,null
対象世界を構成する実体(人，物，場所，事象など)と実体間の関連,関係データベースの設計で用いられるE-R図が表現するものは何か。,テクノロジ,平成24年秋期 問53,システムの入力データ，処理，出力データの関係,時間や行動などに応じて変化する状態の動き,データの流れに着目したときの，業務プロセスの動き,null
デジタルコンテンツの著作権を保護するための技術の総称,DRMとは,テクノロジ,平成27年秋期 問46,DRAM,ダイナミックラム,外部からの給電がなくても記憶内容を維持することができる記憶素子,null
..\..\..\B\f,A→B→A→ルート→Bにあるファイルはどこ？,,平成24秋期 問63,..\..\B\f,..\B\f,\f,null
相手のメールソフトで複合ができるS/MIME,電子メールを暗号化する方法は,,令和3年春期 問68,メールソフトからプロバイダまで暗号化できるSSL/TLS,アクセスポイントを暗号化するWPA2,後から別メールでパスワードを教えるPPAP,https://www.itpassportsiken.com/kakomon/03_haru/q68.html
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,帯域幅などの通信品質の保証
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,一度許可(オプトイン)したアクションに対して後から拒否を行うオプトアウト
