TRUE,question,janru,When,FALSE,FALSE,FALSE,https
顧客や製品といった業務の管理対象間の関係を図示し，その業務上の意味を明らかにする。,E-R図を使用してデータモデリングを行う理由とは,ストラテジ,令和3年 問1,業務上でのデータのやり取りを把握し，ワークフローを明らかにする。,現行業務でのデータの流れを把握し，業務遂行上の問題点を明らかにする。,エンタープライズサーチを使い企業のデータを検索するため,null
証券会社において，顧客がPCの画面上で株式売買を行うときに，顧客に合った投資信託を提案したり自動で資産運用を行ったりする，ロボアドバイザのサービスを提供する。,FinTechの事例とは,ストラテジ,令和3年春期 問13,銀行において，災害や大規模障害が発生した場合に勘定系システムが停止することがないように，障害発生時には即時にバックアップシステムに切り替える,クレジットカード会社において，消費者がクレジットカードの暗証番号を規定回数連続で間違えて入力した場合に，クレジットカードを利用できなくなるようにする。,答えはない,null
他人の利用者IDとパスワードを無断で使って，自社のサーバにネットワークを介してログインし，格納されていた人事評価情報を閲覧した。,不正アクセス禁止法での禁止行為とは,ストラテジ,令和3年春期 問30,同僚のPCの画面に表示されていた，自分にはアクセスする権限のない人事評価情報を閲覧した。,部門の保管庫に保管されていた人事評価情報が入ったUSBメモリを上司に無断で持ち出し，自分のPCで人事評価情報を閲覧した。,答えはない,null
調達先選定基準作成,ソフトウェアを調達する際、RFP作成の後にすることは,ストラテジ,平成23年特別 問4,RFP説明,提案書作成,2番目に長い文字の説明,null
システム管理基準,"経営戦略に沿って効果的な情報システム戦略を立案し，効果的な情報システム投資のための，またリスクを低減するためのコントロールを適切に整備・運用するための実践規範""",ストラテジ,平成23年特別 問6,システム監査基準,情報セキュリティ監査基準,,null
システム管理基準,効果的な情報システム投資及びリスク低減のためのコントロールを適切に行うための実践規範,ストラテジ,平成27年春期 問1,情報システム安全対策基準,企業目標の達成に向けて行われる活動の実行状況を計るために設定する重要な指標,KPI,null
BI,情報を経営者や社員が自ら分析し，分析結果を経営や事業推進に役立てるといった概念は,ストラテジ,平成27年春期 問6,SOA,言語やプラットフォームに依存しないでシステムを構築するSOA,業務及びシステムを統一的な手法でモデル化し、改善することを目的としたEA,null
利害関係者のニーズの識別,要件定義プロセスの実施内容として、適切なものは,ストラテジ,平成27年春期 問10,システム化計画の立案,業務及びシステムの移行,ソフトウェアの詳細設計,null
蓄積された知識やノウハウを組織全体で共有し，営業活動の効率と管理水準の向上を図る。,SFAの目的に関する記述として，適切なものはどれか。,ストラテジ,平成27年春期 問13,他の優れた企業の業績や組織の分析を通じて，自社の営業組織の見直しを図る。,販売情報を基に，資材の調達から生産，流通，販売までの一連のプロセスを改善して全体の在庫の最適化を図る。,,null
ISOなど，国際的な規格との整合性に配慮した規格である。,日本産業規格(JIS)とは,ストラテジ,平成27年春期 問14,食品や医薬品の安全性に関する基準を規定している。,規格に適合しない製品の製造・販売は禁止されている。,電気通信事業法,null
新商品を投入したところ，他社商品が追随して機能の差別化が失われ，最終的に低価格化競争に陥ってしまった。,コモディティ化とは,ストラテジ,平成27年春期 問17,新商品を投入したところ，類似した機能をもつ既存の自社商品の売上が新商品に奪われてしまった。,新商品を投入したものの，当初から頻繁に安売りしたことによって，目指していた高級ブランドのイメージが損なわれてしまった。,多数の類似製品が出たわけではない,null
市場のニーズ,プロダクトイノベーションの要因とは,ストラテジ,平成27年春期 問23,効率的な生産方式,原材料の調達→加工・組立→配送→販売といった過程のようなサプライチェーン,企業が提供する製品やサービスの付加価値が事業活動のどの部分で生みだされているかを分析する考え方であるバリューチェーン,null
集計という文字はプロセスのみで、層が=と重ならない,伝票がファイリングされた後、決算作業開始時にファイリングされた伝票を決算担当者と検算担当者が別々に集計し，両者の結果を照合するDFDは,ストラテジ,平成27年春期 問25,受注→出荷→請求という流れは関係ない,顧客や製品といった業務の管理対象間の関係を図示し，その業務上の意味を明らかにすることがある。,E-R図を使用してデータモデリングを行う理由となることがある。,null
上司による労働時間の管理が必要であり、コアタイムの時間帯は，勤務する必要がある。,フレックスタイム制について正しい情報は？,ストラテジ,平成30年秋期 問4,実際の労働時間によらず，残業時間は事前に定めた時間となる。,UXとも呼ばれるサービスなどの利用場面を想定したり，実際に利用したりすることによって得られる人の感じ方や反応,ユーザビリティ(使用性)と言われる指定された条件の下で，利用者が効率よく利用できるソフトウェア製品の能力,null
電子商取引のためのメッセージを通信回線を介して異なる組織間で交換するEDI,企業間で商取引の情報の書式や通信手順を統一し，電子的に情報交換を行う仕組みとは,ストラテジ,令和2年秋期 問27,企業内の様々なシステムやデータベースにアクセスする入口を提供するEIP,企業全体の経営資源を有効かつ総合的に計画・管理するERP,検札所の通過をスムーズに行うために料金所の通過時に自動で料金を精算するETC,null
発注側企業がITベンダーに，導入システムの概要を示す。,システム開発において作成されるRFPに記載される情報に関する記述とは,ストラテジ,平成29年春期 問18,ITベンダーが発注側企業に，開発期間の見積りを示す。,ITベンダーが発注側企業に，調達条件を示す。,発注側企業がITベンダーに，開発体制を示す。,null
製品の品質が向上する。,プロセスイノベーションによって，直接的に得られる成果は,ストラテジ,平成30年秋期 問22,新たな市場が開拓される。,製品一つ当たりの生産時間が増加する。,不良品などを除いて最終的に製品になる割合である歩留り率が低下する。,null
SFA 営業支援システム,営業部門の組織力強化やグループ内で情報の共有をするシステム,ストラテジ,平成30年秋期 問34,MRP 部品表と生産計画をもとに必要な資材の所要量を求め,POS物品販売の売上実績を単品単位で集計する経営の実務手法。,生産，販売に関する情報を，企業内や企業間で共有・管理することで，ビジネスプロセスの全体最適を目指すSCM,null
取締役の一部を社外取締役にする。,コーポレートガバナンスの観点から，経営の意思決定プロセスを監視・監督する機能を強化する方法とは,ストラテジ,平成27年春期 問30,社長室への出入りを監視するためのカメラを設置する。,法学部出身者を内部監査部門の社員として雇用する。,,null
コンカレントエンジニアリング,工程間で設計情報を共有し，前工程が完了しないうちに，着手可能なものから後工程の作業とは,ストラテジ,平成27年春期 問31,FMS Flexible Manufacturing System生産の自動化を実現する,MRP 必要な資材の所要量を算出し在庫、発注、納入の管理を支援するシステムです。,ジャストインタイム 在庫の無駄をなくし必要な時に必要な量だけ生産することを意味します。,null
DFDと呼ばれることがある業務の流れの改善点,業務分析を行うときに，DFDを用いて何を検討する？,ストラテジ,平成23年秋期 問3,アローダイアグラムと呼ばれることがある業務のクリティカルパス,業務の作業コスト,ガントチャートやアローダイアグラムと呼ばれる業務の作業日程,null
ROI,システム化計画において，情報システムの費用対効果を評価することを何という,ストラテジ,平成28年秋期 問6,自己資本比率,短期の支払い能力がある流動比率,流動負債,null
経営資源が縮小された状況における重要事項の継続,大災害を想定したBCPを作成する目的とは,ストラテジ,平成28年秋期 問7,設備の保全,被災地への連絡の手段の確保,労働災害の原因となるリスクの発生確率とその影響の低減,https://www.itpassportsiken.com/bunya.php?m=1&s=1&no=18
自社に不足している機能を企業買収などによって他社から取り込み，事業展開を速めること,M&Aとは,ストラテジ,平成28年秋期 問12,企業の提供する製品やサービスなどの価値を生み出すための業務の流れ，価値の連鎖を分析するバリューチェーン,企業を事業ごと又は地域ごとに分割する事業部制組織,財務的尺度だけでなく，非財務的尺度からも業績評価を行うバランススコアカード,null
経営者の規律や重要事項に対する透明性の確保，利害関係者の役割と権利の保護など，企業活動の健全性を維持する枠組み,コーポレートガバナンスとは,ストラテジ,平成28年秋期 問16,競合他社では提供ができない価値を顧客にもたらす，企業の中核的な力,社会や利害関係者に公表した，企業の存在価値や社会的意義など，経営における普遍的な信念や価値観,事業の成功に向けて，持続的な競争優位性の確立に向けた事業領域の設定や経営資源の投入への基本的な枠組み,null
売上高÷平均在庫高,在庫回転率の算出式とは,ストラテジ,平成28年秋期 問17,総資産回転率の算出式でもある売上高÷総資産,平均在庫高の算出式ともいわれる(期首在庫高＋期末在庫高)÷2,在庫回転期間の算出式と言われる平均在庫高÷売上高,null
店舗ごとの品ぞろえの改善と発注や在庫管理業務の効率化,POSシステムの構築でできることは,ストラテジ,平成28年秋期 問18,調達から製造・配送・販売に至る一連のプロセスの最適化(SCM),構成部品及び仕掛品の在庫量削減(SFA),営業員の業務生産性向上と営業部門の組織力強化(SFA),null
電気工学・電子工学技術分野以外は国際標準化機関ではないIEEE,イーサネットのLANや無線LANなどに関する標準化活動を推進している，米国の学会は,ストラテジ,平成28年秋期 問19,DNS管理に関する調整などを世界規模で行うICANN,電気通信分野の国際標準化機関であるITU,World Wide Web Consortiumと呼ばれるW3C,null
遵守すべき法律やルールについて従業員に教育を行った。,コンプライアンスの取組み強化活動の事例,ストラテジ,平成28年秋期 問29,利益が得られにくい事業から撤退した。,従業員の社会貢献活動を支援するプログラムを拡充した。,セキュリティの弱点を突いて侵入する行為を規制する法律「不正アクセス禁止法」を全員で覚える,null
ソフトウェアの開発期間の短縮,PC用のOSを情報家電のOSに採用することがある目的は,ストラテジ,平成26年春期 問2,売上高の大きな商品から得られる利益によって，売上高の小さな商品による損失をカバーすることができること,,答えはない,null
販売に必要なコストが少ないので，売上高の小さな商品を数多く取り扱うことによって利益を上げられること,ロングテール現象とは,ストラテジ,平成26年春期 問18,ブログに書かれた評価などの影響によって，商品の発売直後から販売が好調で，時間が経過しても衰えないこと,商品を手にとって見ることができないので，店舗販売に比べて販売開始からヒット商品になるまでの時間が長く掛かるようになること,企業秘密漏えい禁止の就業規則に反するが，勤務先の通報対象事実を，法に基づいて定められた通報先に実名で通報する現象,https://www.itpassportsiken.com/kakomon/26_haru/q19.html
部下の企画立案能力向上のために，チームの販売計画の立案を命じた。,OJTに該当する事例とは,ストラテジ,平成26年春期 問25,販売情報システムに関する営業担当者の理解を深めるために，説明会を実施した。,転入者の庶務手続の理解を深めるために，具体的事例を用いて説明した。,新任管理職のマネジメント能力向上のために，勉強会を行った。,null
登録会員相互のコミュニケーション及び企業と登録会員のコミュニケーションの場や話題を提供することで，顧客のブランドロイヤルティを向上させる。,ソーシャルネットワーキングサービスの利用事例,ストラテジ,平成29年秋期 問5,アフィリエイトと呼ばれる広告を載せているWebサイトの主に広告掲載の対価となる報酬を支払う機能がないと動かない,ネットワークを経由して必要とするソフトウェアの機能を必要なときに利用することで，コストの削減を行う。,ソーシャルネットワーキングサービスを使う必要がある。,null
要件定義,開発するシステムの機能に関して利害関係者の合意が必要なプロセス,ストラテジ,平成29年秋期 問30,企画,保守・運用,開発,null
利用者に対して，アプリケーションソフトウェアの必要な機能だけを必要なときに，ネットワーク経由で提供する。,SaaSの説明とは,ストラテジ,平成29年秋期 問11,インターネットへの接続サービスを提供する。,製品の質問メールへの回答で，その内容を知ってもらいたい複数の顧客のメールアドレスをCC欄に設定して返信した。,電子メールの送信に関する事例のうち，個人情報保護の観点から不適切なもの,https://www.itpassportsiken.com/kakomon/29_aki/q12.html
ハウジングは自社のサーバや通信機器を専門業者の施設内に預けて使用することができる。,正しい文章はどれ,ストラテジ,平成23年秋期 問5,損益計算書の営業利益の算出に関係する費用は広告宣伝費ではない。,ホスティングは専門業者の通信設備やサーバの一部を利用者が利用できない,SaaSはソフトウェアの必要な機能だけを必要時に，利用者がネットワーク経由で利用できるわけではない,null
各部門の職務の内容と責任及び権限を定めたもの,職務分掌とは,ストラテジ,平成28年春期 問26,会社の基本となる経営組織，職制を定めたもの,従業員の労働条件などの就業に関する事項を定めたもの,定款、就業規則をまとめたもの,null
自社の経営計画の実行状況,PDCAのCに当てはまるものは,ストラテジ,平成23年特別 問8,自社の経営を取り巻く外部環境の分析結果,販売会社ごとの機能的・品質的な差異がごく僅かとなるコモディティ化,新たに市場に投入した商品が、それと類似する既存の自社商品の売上を奪ってしまうカニバリゼーション,null
損益分岐点売上高=固定費/(1-変動費/売上高),正しい文章は,ストラテジ,平成26年秋期 問1,損益分岐点売上高=固定費/(1+変動費/売上高),技術開発においては新技術を開発したときにスポンサーがつき製品化・事業化ができること=死の谷,許可を得て業務に使用されている従業員所有のPCや、承認を経て利用されている外部サービスはシャドーITである,null
散布図,2種類のデータの関係性を表すことを目的として用いるものは,ストラテジ,平成24年秋期 問8,決定表,パレート図,結果とそれに影響を及ぼしたと思われる要因の関係特性要因図,null
親会社の新製品を案内するために，顧客情報を親会社へ渡した。,個人情報を他社に渡した事例のうち，個人情報保護法において，本人の同意が必要なものは,ストラテジ,平成24年秋期 問20,顧客リストの作成が必要になり，その作業を委託するために，顧客情報をデータ入力業者へ渡した。,請求書の配送業務を委託するために，顧客情報を配送業者へ渡した。,身体に危害を及ぼすリコール対象製品を回収するために，顧客情報をメーカーヘ渡した。,null
開発期間の短縮,コンカレントエンジニアリングの目的,ストラテジ,平成24年秋期 問28,開発した技術の標準化,生産工程の歩留り率向上,自社の技術的な強みを生かした製品開発,null
OSなどに存在するセキュリティ上の弱点を電気通信回線を通じて攻撃してコンピュータを不正利用する行為,不正アクセス行為の禁止等に関する法律で禁止されている行為は,ストラテジ,平成24年春期 問4,営業秘密や営業上のノウハウの盗用などの不正行為,他人を誹誇中傷する内容をホームページや掲示板などへ掲載する行為,本人に対して個人情報の利用目的を隠し，不正な手段で取得する行為,null
システム化の範囲と機能を具体化し，利害関係者間で合意すること,システム開発における業務要件を定義する目的,ストラテジ,平成24年春期 問8,経営目標を達成するためにIT化の方針と実施計画を作成すること,企画プロセスの目的,企業の経営資源を有効に活用し，統合的に管理することERP,null
スキー板を購入した顧客にスキーウェアの購入を薦める。,顧客に対する販売手法のうち，クロスセリング,ストラテジ,平成24年春期 問12,コンパクトカメラを求めている顧客に一眼レフカメラの購入を薦める。,車の点検に来た顧客に新しいタイプの車への乗換えを薦める。,別の商品をお勧めすることではない,null
経営戦略との整合性を考慮する。,情報システム戦略の立案において，情報システム全体の最適化の方針や目標を設定する際に実施すべきことは,ストラテジ,平成24年春期 問22,開発に必要な要員のスキルを明確にする。,消費者がメーカーや小売店以外の個人から商品を購入する形態,C to C,null
?=企業が資本をどれだけ効率的に利用して売上げを上げたかを示す自己資本回転率,自己資本利益率＝売上高利益率×?,ストラテジ,平成24年春期 問25,?=負債が少ないことを示す自己資本比率,?=値が低いほど収益性が高く、かつ売上減少に耐える力が強い損益分岐点比率,?=企業の短期支払能力を示す流動比率,null
出張申請から交通費の精算までの承認手続の電子化,グループウェアの機能を利用した事例のうち，ワークフロー管理機能を活用したもの,ストラテジ,平成31年春期 問2,決済処理・承認処理の業務手順を電子化することがワークフローシステムではない,ネットワーク上での本支店間会議の実施,ネットワーク上での本支店間会議の実施は電子会議室機能を活用したものです。,null
CMS=Webサイトの運用にかかわる労力を削減できる,自社のWebサイトのコンテンツのバージョン管理や公開に労力が割かれている。それを改善するために導入するシステムとは,ストラテジ,平成31年春期 問8,CAD＝コンピュータ支援設計とも呼ばれ、コンピュータを用いて画面上で設計作業をすること,CRM=顧客との長期的で良好な関係を企業活動に役立てる経営手法です,SFA=営業活動にモバイル技術やインターネット技術といったITを活用すること,null
自社の製品やサービスを測定し，他社の優れたそれらと比較すること,ベンチマーキングとは,ストラテジ,平成31年春期 問10,改善を行う際に，比較や分析の対象とする最も優れた事例のこと,コアコンピタンス,BPM=PDCA,null
