TRUE,question,janru,When,FALSE,FALSE,FALSE,https
プロジェクト全体を、実行、監視、コントロールするための計画書,プロジェクト統合マネジメントとは,マネジメント,平成30年秋期 問43,プロジェクト全体の成果物の一覧,プロジェクトスコープマネジメント,システム結合,
テストで摘出する不良件数の実績値と目標値を比較する。,成果物の品質を定量的に分析するための活動とは,マネジメント,平成30年秋期 問38,設計書を作成するメンバに必要なスキルを明確にする。,プロジェクト人的資源マネジメントの活動。,完成した成果物の数量を基に進捗率を算出して予定の進捗率と比較する,
共通フレーム(SLCP-JCF),構想・設計から開発、導入、運用、保守、破棄に到るまでの工程についての共通の枠組み,マネジメント,平成22年春期 問37,wbs,オブジェクト指向,プログラムをオブジェクトの集まりとして設計する手法,
人的資源マネジメント計画書,プロジェクトにおける役割、責任、必要なスキルを特定して記述していることを何という,マネジメント,令和元年秋期 問51,プロジェクトスコープ記述書,成果物と作業の一覧及びプロジェクトからの除外事項を記述している。,先輩と後輩の口頭による後部座席でのメモ,
ソフトウェア要件定義,開発者側が利用者側にヒアリングを行って、ソフトウェアに要求される機能、性能を明確にする。,マネジメント,平成28年春期　問42,ソフトウェア導入,ソフトウェア結合,ソフトウェア方式設計,
ソフトウェア要件定義,ソフトウェア要件定義書が利用者側のニーズを満たしていることを確認するために、開発者側がレビューを行う。,マネジメント,平成28年春期　問42,ソフトウェア導入,ソフトウェア結合,ソフトウェア方式設計,
経営者が組織目的の達成について合理的な保証を得るためのマネジメントプロセスである。,内部統制についての記述を選択してください。,マネジメント,平成21年秋期　問49,業務実施部門ルールどおりに行われているかを評価する独立的モニタリングがある。,リスクを影響度で評価する。,監査責任を持つこと,
経営者,内部統制を整備及び運用する役割と最終責任を有する者はだれか。,マネジメント,平成22年春期　問45,内部監査人,監査人,答えにない,
業務の有効性及び効率性、財務報告の信頼性、法令遵守、資産の保全を達成するために、企業内のすべての者によって遂行されるプロセス,内部統制についての記述を選択してください。,マネジメント,平成21年秋期　問49,経営権を取得すること,業務とシステムをともに最適化することを目指す手法のこと,答えにない,
システム開発規程,全般統制とは,マネジメント,平成25年春期　問31,人事システムの利用範囲の限定方法,経理システムのマスタデータの維持管理方法,購買システムの入力エラーの修正手続,
UML,モデリング言語の一つで、オブジェクトの構造や振る舞いを記述する複数種類の表記法を使い分けて記述は,マネジメント系 ,平成29年春期　問54,ソフトウェア導入,ユースケース,ソフトウェア方式設計,
人事システムの機能ごとに利用者を限定するアクセス管理の仕組み,業務処理統制とは,マネジメント,平成25年秋期　問28,全社的なシステム開発・保守規程,外部委託を統括する部門による外部委託先のモニタリング,システム運用管理,
リスクと実施している統制項目を記述してリスクの低減度を評価する。,リスクコントロールマトリクスとは,マネジメント,平成26年春期　問39,リスクと実施している統制項目を記述して統制項目の経済性を評価する。,リスクと候補となる統制項目を記述してリスクの低減度を評価する。,リスクと候補となる統制項目を記述して統制項目の経済性を評価する。,
成果物と作業の一覧及びプロジェクトからの除外事項を記述している。,プロジェクトスコープ記述書とは,マネジメント,令和元年秋期 問51,成果物を作るための各作業の開始予定日と終了予定日を記述している。,プロジェクトにおける役割、責任、必要なスキルを特定して記述している。,人的資源マネジメント,
システム結合,対象システムをテストするためのテスト仕様書を作成する行動とは,ストラテジ,平成22年春期 問12,対象業務を確認・分析し、業務機能をモデル化する。,企画プロセスでシステム化計画の立案,チェックディジット,
クラスと継承,オブジェクト指向の基本概念について適しているものは,マネジメント,平成24年秋期 問45,夢と希望,老人と海,データの正規化,
成果物とそれを作成するための作業を明確にする,WBSの目的とは,マネジメント,平成23年特別 問45,プロジェクト憲章,プロジェクトの目的を周知する。,プロジェクト憲章の目的であるプロジェクトの目的を周知する。,
ソフトウェアを中心としたシステムの開発及び取引のプロセスを明確化しており、必要に応じて修整して利用する。,共通フレームの説明はどれか？,マネジメント,平成29年秋期 問41,取得者と供給者が請負契約を締結する取引に限定し、利用することを目的にしている。,デュプレックスシステム,通常使用される主系と、故障に備えて待機している従系の二つから構成されるコンピュータシステム,
要求の変化に対応した高品質のソフトウェアを短いサイクルでリリースする、アジャイル開発のアプローチの一つである。,XPとは,マネジメント,令和4年春期　問38,プログラムの振る舞いを変えずに、プログラムの内部構造を改善することである。,つのプログラムを2人のプログラマが、1台のコンピュータに向かって共同で開発する方法のことである。,インシデントによって中断しているサービスを可能な限り迅速に回復すること、インシデント管理の目的と呼ばれる。,
候補となる原因を魚の骨の形で整理し、根本原因を検討する。,システム開発プロジェクトの品質マネジメントにおいて、品質上の問題と原因との関連付けを行って根本原因を追究する方法の説明とは,マネジメント,令和4年春期　問48,複数の原因を分類し、件数が多かった原因の順に対処すべき根本原因の優先度を決めていく。,原因の候補リストから原因に該当しないものを削除し、残った項目から根本原因を紋り込む。,チャットボットによる自動化が有効な管理プロセスを使う場合、変更管理と呼ばれる。,https://www.itpassportsiken.com/bunya.php?m=10&s=1&no=8
内部統制は財務諸表などの外部報告に影響を与える業務に係る事項なので、営業部門、経理部門、情報システム部門が関与する。,財務報告に係る内部統制とは,マネジメント,令和2年秋期　問52,内部統制は会計システムに係る事項なので、営業部門は関与せず、経理部門と情報システム部門が関与する。,内部統制は経理業務に係る事項なので、経理部門だけが関与する。,障害などによりインシデント管理を担当するサービスデスクは既知の障害事象とその回避策の利用者への紹介をする。,
親和図法,プロジェクトのゴールなどを検討するに当たり、集団でアイディアを出し合った結果をグループ分けして体系的に整理する手法は,マネジメント,令和2年秋期　問53,ブレーンストーミング,既知の障害事象とその回避策の利用者への紹介,受容,
WBSで定義した作業の内容と意味を明確に定義する。,WBSを作成するときに、作業の記述や完了基準などを記述した補助文書を作成する理由は,マネジメント,令和3年春期　問54,WBSで定義した作業のスケジュールのクリティカルパスを求める。,WBSで定義した作業の進捗を管理する。,WBSで定義した作業で使用するデータの意味を明確に定義する。,
システムの可用性に関する指標を定義し、稼働実績を取得し、目標を達成するために計画、測定、改善を行う。,ITサービスマネジメントの活動とは,マネジメント,平成28年秋期　問35,システム開発組織におけるプロセスの成熟度をレベル1からレベル5で定義し、改善を支援する。,CMMI,スコープ定義とは、プロジェクトの実施範囲を明確にする作業です,
情報セキュリティ確保の観点も含めて、情報システムに関わるリスクに対するコントロールが、リスクアセスメントに基づいて適切に整備・運用されているかを評価する=システム監査,監査の目的に関する記述a～dと監査の種類の適切な組合せ,マネジメント,平成28年秋期　問40,リスクアセスメントに基づく適切なコントロールの整備、運用状況を評価=システム監査,財務諸表がその組織体の財産、損益の状況などを適正に表示しているかを評価する=システム監査,組織の製造、販売などの会計業務以外の業務全般についてその遂行状況を評価する=システム監査,
業務記述書,業務規定やマニュアルのような個々の業務内容についての手順や詳細を文章で示したものは,マネジメント,平成28年秋期　問44,要件定義書,業務の流れ図,稼働率の向上=障害発生の監視,
システム方式設計,ハードウェア、ソフトウェアで実現する範囲と手作業で実施する範囲を明確にすることの別名は,マネジメント,平成28年秋期　問53,ソフトウェア要件定義,ソフトウェア保守,稼働後のシステムの障害を解決するために、プログラムを修正する。,
正常ケースやエラーケースなど、起こり得る事象を幾つかのグループに分けて、各グループが1回は実行されるようにテストデータを選ぶ。,ソフトウェアのテストで使用するブラックボックステストにおけるテストケースの作り方とは,マネジメント,平成26年春期　問35,全ての分岐が少なくとも1回は実行されるようにテストデータを選ぶ。,全ての分岐条件の組合せが実行されるようにテストデータを選ぶ。,全ての命令が少なくとも1回は実行されるようにテストデータを選ぶ。,
コスト、時間、品質は制約条件によって優先順位が異なるので、バランスをとる必要がある。,プロジェクトマネジメントに関する記述のうち、適切なものはどれか。,マネジメント,平成26年春期　問46,コストと時間は反比例するので、どちらか一方に注目してマネジメントすればよい。,リバースエンジニアリング,既存の製品を分解し、解析することによって、その製品の構造を解明して技術を獲得する手法,
サービスの内容、提供範囲、要求水準に関する共通認識をもつことができる。,SLAを取り交わすことによって得られるサービス提供者とサービス利用者双方の利点とは,マネジメント,平成26年春期　問48,サービスの実施内容に基づき請求料金の妥当性を証明することができる。,サービスの内容に関する過剰な要求を受けることなく業務を遂行できる。,サービスの内容が不十分な場合に料金の見直しを要求することができる。,
監査対象に関する予備調査,システム監査人が実施するものは,マネジメント,平成26年春期　問50,監査対象である業務などに関する運用ルールの整備,システム監査報告書の受理,監査対象の脆弱性の改善,
ハードウェアやネットワークの構成の決定,要件定義の後システム方式設計に含める作業,マネジメント,平成24年秋期　問32,システムの機能及び処理能力の決定,ソフトウェアの最上位レベルの構造とソフトウェアコンポーネントの決定,利用者インタフェースの決定,
ファシリティマネジメン卜,サーバ室への侵入リスクを低減するために、コンピュータの設置場所を示す標識を出さないことにした対策を何という,マネジメント,平成24年秋期　問40,材料→生産→物流→販売の効率を大幅に向上させ、在庫削減などを実現するサプライチェーンマネジメント,個人が持っているノウハウや経験などの知的資産を共有するナレッジマネジメント,リスク発生時に取引先に対するサービスの提供の欠落を最小限にするかを目的にしているビジネスコンティニュイティマネジメン卜,
クラス、継承,オブジェクト指向の基本概念として正しいものは？,マネジメント,平成24年秋期　問45,データの正規化,ホワイトボックステスト,以前まで正常に機能していた部分に不具合や影響がないかを確認する会期テスト,
プロジェクトで作成する成果物の仕様と、その成果物を完成させるための作業を定義する。,プロジェクトマネージャがプロジェクトのスケジュール、コスト、品質の計画を実行する為に最初に実施すべき作業,マネジメント,平成24年秋期 問48,プロジェクトの目標にプラス・マイナスの影響を及ぼす不確実な事象に対する対応策の効果を測定する。,プロジェク卜の実施と結果によってプラス又はマイナスの影響を受ける利害関係者にプロジェクトの実績を報告する。,プロジェクト全体を通じて最も長い所要期間を要するアクティビティ経路を見つける。,
刺激、奨励、誘因という意味のあるインセンティブ,プロジェクトの進行にとって望ましい行動を促進する仕組みを表す用語とは,マネジメント,平成24年春期　問44,高い業績を上げる人材コンピテンシー,法令や社会規範を遵守するコンプライアンス,競合状態を表すコンフリクト,
情報処理関連の設備や環境の総合的な維持,ファシリティマネジメントとは,マネジメント,平成29年春期 問36,情報資産に対する適切なセキュリティの確保,IT機器類の冷却や電源、建物への入退館といった物理的環境面での管理を責務とする活動ではない。,災害時などにおける企業の事業継続BCM,
システム方式設計,A社はシステム要件定義を終わらした。次に行う行動は？,マネジメント,平成24年春期 問33,システム要件,ソフトウェア要件定義,ソフトウェア方式設計,
納入後のシステムやソフトウェアを修正すること,保守プロセスは、障害への対応、性能の改善などを行うために、納入後のシステムやソフトウェアをbすること bに入る文字は,マネジメント,平成25年春期　問41,納入後のシステムやソフトウェアを記述すること,納入後のシステムやソフトウェアを手術すること,納入後のシステムやソフトウェアを完成すること,
SLMでは、SLAで合意した定量的な目標の達成状況を確認するため,SLMとは？,マネジメント,令和3年春期　問53,本番システムで稼働しているソフトウェアに不具合が報告されたので、プログラムを修正した。,この中にはソフトウェア保守に該当するものがある。,この問題に答えはない,https://www.itpassportsiken.com/kakomon/30_aki/q37.html
委託先の支援を受けるなどし，自社が受入れテストを実施する。,受入れテストに関する記述は,マネジメント,平成27年春期　問34,自社で受入れテストを実施し，委託先がテスト結果の合否を判定する。,利用者から新たなシステム化に向けての要望などをヒアリングする。,発注側で実施しているので適切ではない,https://www.itpassportsiken.com/bunya.php?m=8&s=1&no=34
改善計画、実施状況、改善状況を知るフォローアップ,対策の実施を指導するプロセスは,マネジメント,平成31年春期　問55,監査の結論や指摘事項が書かれるシステム監査報告書,データベースに格納するレコードの長さや属性を決定する内部設計,入出力画面や帳票のレイアウトを設計する外部設計,
プロジェクトの作業に、顧客が行う運用テストの支援を追加,プロジェクトにおけるスコープの変更に該当するものと,マネジメント,平成30年秋期　問36,プロジェクトで利用する開発場所の変更,プロジェクトに参画する開発メンバの追加,プロジェクトの一部の作業の外注先の変更,
個人情報の持出しが発生しないように、プロジェクトルームから許可無く物を持ち出すことを禁止する。,個人情報漏えいに関するリスクの軽減に該当するものは,マネジメント,平成29年秋期　問42,個人情報漏えいによって賠償金を請求された場合に備えて、損害の全額を補償対象とする保険に加入する。,保険会社に金銭的リスクを移転しているので、リスク転嫁に該当します。,個人情報漏えいの発生確率は低いと考え、万が一のリスク発生時に備えて予備費を確保しておく。,
監査対象システムに関する運用ルールなどの説明,被監査部門が実施するものは,マネジメント,平成29年秋期　問50,サーバ室内の設備を、省エネ機器へ交換することによる維持コストの低減,ファシリティマネジメントの施策,打合せの場において、参加者の合意形成をサポートするスキルの獲得はファシリテーションの施策です。,https://www.itpassportsiken.com/kakomon/29_aki/q51.html
業務記述書,マニュアルのような個々の業務内容についての手順や詳細を文章で示したものは,マネジメント,平成28年秋期　問44,業務の流れ図,要件定義書,共通フレームとはソフトウェア開発とその取引の適正化に向けて、基本となる作業項目を定義し標準化したもの,
必要な作業を過不足なく含めることを目的としたプロジェクトスコープマネジメント,プロジェクトの目的を達成するために作成する必要のある成果物と、成果物を作成するために必要な作業を細分化することを何という,マネジメント,平成28年秋期　問48,予算内に収まるように管理を行うプロジェクトコストマネジメント,スケジュールの調整を行うプロジェクトタイムマネジメント,リスクを識別し、対策案を検討するプロジェクトリスクマネジメント,
システム方式設計,ハードウェア、ソフトウェアで実現する範囲と手作業で実施する範囲を明確にする工程は,マネジメント,平成28年秋期　問53,運用テスト,導入計画に従い、利用者を支援しながらソフトウェアを実環境に導入する工程であるソフトウェア導入,システムを構成するソフトウェアごとに必要な機能や能力などを明らかにする工程であるソフトウェア要件定義,
アジャイル開発における開発サイクルを意味するイテレーション,アジャイル開発において、短い間隔による開発工程の反復や、その開発サイクルを表す用語とは,マネジメント,令和元年秋期 問52,スクラム,早い段階でシステムの試作品をつくり、利用者にそのイメージを理解させるプロトタイピング,開発サイクルのことをスクラム開発ではスプリントといいます。,
建築物、工業製品などの設計にコンピュータを用いること Computer Aided Designとも呼ばれます。,CADとは,マネジメント,令和元年秋期　問14,アナログ信号をデジタル信号に変換する回路　A/D変換器とも呼ばれます。,光を電気信号に変換する撮像素子と呼ばれる。CCDイメージセンサーやCMOSイメージセンサー,文字，画像，音声などのデータを組み合わせて一つのコンテンツを作るオーサリング,
業務要件の定義，システム要件定義，ソフトウェア要件定義,システム開発における設計手順として，求められる要件を明確にしていく順に並べたものはどれか。,マネジメント,平成25年秋期　問43,文字，画像と文字を組み合わせたもの，オーサリング,グローバル IP 、プライベート IP 、NAT,Y、W、Z、X時間当たりの利益が高い製品から順に生産したもの,https://www.itpassportsiken.com/kakomon/28_haru/q18.html
障害原因の追及でもある問題管理,インシデントの根本原因を解決して再発を防止することを目的としたプロセスは,,平成27年春期 問44,サービスの品質が低下する時間を最小限に抑えるインシデント管理,プログラムの標準的な記述方式を定める目的でもある保守性管理,誰もが自由に閲覧できるIETF,https://www.itpassportsiken.com/kakomon/22_aki/q43.html
